date,iv_atm
2017-07-04,26.00586
2017-07-05,23.466797
2017-07-06,24.208984
2017-07-07,21.40625
2017-07-10,21.767578
2017-07-11,38.508705
2017-07-12,144.78098
2017-07-13,29.179688
2017-07-14,32.63672
2017-07-17,49.150906
2017-07-18,51.529366
2017-07-19,24.746094
2017-07-20,25.71289
2017-07-21,30.302734
2017-07-24,45.039062
2017-07-25,40.546875
2017-07-27,26.40625
2017-07-28,30.761719
2017-07-31,27.841797
2017-08-01,22.8125
2017-08-02,27.822266
2017-08-03,28.300781
2017-08-04,39.921875
2017-08-07,21.367188
2017-08-08,28.261719
2017-08-09,66.65039
2017-08-10,25.683594
2017-08-11,22.392578
2017-08-14,26.298828
2017-08-16,27.158203
2017-08-17,29.804688
2017-08-18,18.740234
2017-08-21,59.101562
2017-08-22,27.90039
2017-08-23,140.74219
2017-08-24,35.908203
2017-08-28,92.59766
2017-08-29,270.15625
2017-08-30,398.3203
2017-08-31,31.010742
2017-09-01,53.274544
2017-09-04,55.390686
2017-09-05,57.795597
2017-09-06,19.111328
2017-09-07,30.214844
2017-09-08,21.591797
2017-09-11,46.5625
2017-09-12,30.683594
2017-09-13,27.128906
2017-09-14,53.73047
2017-09-15,36.660156
2017-09-18,26.777344
2017-09-19,33.50586
2017-09-20,37.20703
2017-09-21,174.19922
2017-09-22,11.5234375
2017-09-25,221.54297
2017-09-26,27.050781
2017-09-27,467.14844
2017-09-28,69.64844
2017-09-29,69.57031
2017-10-03,67.163086
2017-10-04,31.988928
2017-10-05,27.43164
2017-10-06,60.390625
2017-10-09,33.916016
2017-10-10,30.351562
2017-10-11,83.828125
2017-10-12,61.679688
2017-10-13,36.689453
2017-10-16,74.86328
2017-10-17,32.91992
2017-10-18,37.089844
2017-10-23,41.38672
2017-10-24,296.07422
2017-10-25,30.234375
2017-10-26,31.826172
2017-10-27,30.234375
2017-10-30,32.651367
2017-10-31,32.822266
2017-11-01,29.189453
2017-11-02,34.82422
2017-11-03,115.238014
2017-11-06,44.609375
2017-11-07,40.512695
2017-11-08,26.582031
2017-11-09,85.10254
2017-11-10,41.064453
2017-11-13,40.898438
2017-11-14,31.201172
