date,iv_atm
2017-07-04,24.492188
2017-07-05,23.300781
2017-07-06,24.003906
2017-07-07,24.84375
2017-07-10,26.601562
2017-07-11,24.316406
2017-07-12,24.645731
2017-07-13,25.252735
2017-07-14,25.332031
2017-07-17,25.175781
2017-07-18,26.82605
2017-07-19,26.210938
2017-07-20,25.371094
2017-07-21,22.96875
2017-07-24,27.460938
2017-07-25,29.296875
2017-07-27,25.449219
2017-07-28,26.347656
2017-07-31,27.480469
2017-08-01,28.886719
2017-08-02,26.16211
2017-08-03,25.410156
2017-08-04,26.00586
2017-08-07,27.949219
2017-08-08,29.927464
2017-08-09,33.74851
2017-08-10,34.6875
2017-08-11,36.23047
2017-08-14,34.960938
2017-08-16,35.371094
2017-08-17,33.57422
2017-08-18,31.289062
2017-08-21,34.101562
2017-08-22,29.453125
2017-08-23,25.605469
2017-08-24,25.234375
2017-08-28,29.022762
2017-08-29,36.796875
2017-08-30,37.34375
2017-08-31,28.359375
2017-09-01,28.095703
2017-09-04,27.402344
2017-09-05,26.435547
2017-09-06,26.640625
2017-09-07,25.53711
2017-09-08,25.214844
2017-09-11,26.210938
2017-09-12,23.554688
2017-09-13,24.472656
2017-09-14,24.082031
2017-09-15,23.769531
2017-09-18,24.447626
2017-09-19,23.041607
2017-09-20,22.246094
2017-09-21,22.382812
2017-09-22,27.070312
2017-09-25,33.085938
2017-09-26,28.431944
2017-09-27,45.546875
2017-09-28,29.572311
2017-09-29,29.785156
2017-10-03,27.265625
2017-10-04,27.167969
2017-10-05,26.230469
2017-10-06,26.171875
2017-10-09,26.054688
2017-10-10,25.957031
2017-10-11,26.289062
2017-10-12,23.769531
2017-10-13,22.163013
2017-10-16,23.574219
2017-10-17,25.625
2017-10-18,23.977718
2017-10-23,24.257812
2017-10-24,30.22669
2017-10-25,31.328125
2017-10-26,30.625
2017-10-27,32.666016
2017-10-30,33.867188
2017-10-31,34.55078
2017-11-01,30.771484
2017-11-02,29.28711
2017-11-03,28.12657
2017-11-06,29.277344
2017-11-07,29.609375
2017-11-08,29.878628
2017-11-09,30.029924
2017-11-10,28.979918
2017-11-13,28.846977
2017-11-14,28.59375
2017-11-15,28.222656
2017-11-16,30.71289
2017-11-17,30.410156
2017-11-20,33.867188
2017-11-21,32.51953
2017-11-22,31.015625
2017-11-23,34.19922
2017-11-24,32.773438
2017-11-27,35.117188
2017-11-28,29.0625
2017-11-29,34.352013
2017-11-30,29.28711
2017-12-01,28.222656
2017-12-04,29.004387
2017-12-05,26.847725
2017-12-06,27.402344
2017-12-07,26.542969
2017-12-08,26.347656
2017-12-11,25.878906
2017-12-12,27.109375
2017-12-13,28.691406
2017-12-14,27.617188
2017-12-15,28.115234
2017-12-18,25.898438
2017-12-19,27.65625
2017-12-20,25.957031
2017-12-21,24.785156
2017-12-22,26.074219
2017-12-26,30.859375
2017-12-27,37.578125
2017-12-28,27.450298
2017-12-29,27.441406
2018-01-01,23.118471
2018-01-02,30.761719
2018-01-03,27.76717
2018-01-04,28.896484
2018-01-05,27.186792
2018-01-08,26.269531
2018-01-09,26.123047
2018-01-10,26.210938
2018-01-11,29.140625
2018-01-12,25.390625
2018-01-15,25.820312
2018-01-16,26.601562
2018-01-17,25.039062
2018-01-18,24.507175
2018-01-19,25.46875
2018-01-22,34.0625
2018-01-23,40.390625
2018-01-24,55.703125
2018-01-25,32.060547
2018-01-29,35.48828
2018-01-30,33.90625
2018-01-31,32.23633
2018-02-01,30.800781
2018-02-02,36.777344
2018-02-05,36.347656
2018-02-06,43.242188
2018-02-07,40.15625
2018-02-08,34.414062
2018-02-09,34.6875
2018-02-12,37.01172
2018-02-14,36.640625
2018-02-15,33.671875
2018-02-16,32.734375
2018-02-19,50.234375
2018-02-20,36.640625
2018-02-21,47.890625
2018-02-22,26.232475
2018-02-23,24.12219
2018-02-26,24.005325
2018-02-27,26.408304
2018-02-28,26.262465
2018-03-01,26.438505
2018-03-05,29.8234
2018-03-06,29.277344
2018-03-07,31.713139
2018-03-08,29.609375
2018-03-09,27.34375
2018-03-12,27.246094
2018-03-13,30.722656
2018-03-14,30.917969
2018-03-15,29.355469
2018-03-16,30.410156
2018-03-19,29.628906
2018-03-20,28.808594
2018-03-21,31.664154
2018-03-22,32.905685
2018-03-23,30.0
2018-03-26,28.660198
2018-03-27,40.0
2018-03-28,30.006212
2018-04-02,30.710535
2018-04-03,29.75586
2018-04-04,28.515625
2018-04-05,28.632812
2018-04-06,27.207031
2018-04-09,30.048828
2018-04-10,28.945312
2018-04-11,28.261719
2018-04-12,30.117188
2018-04-13,27.851562
2018-04-16,31.289062
2018-04-17,30.195312
2018-04-18,28.125
2018-04-19,29.34866
2018-04-20,28.691406
2018-04-23,36.601562
2018-04-24,33.515625
2018-04-25,29.375
2018-04-26,27.25586
2018-04-27,26.96289
2018-04-30,30.06836
2018-05-02,34.648438
2018-05-03,33.476562
2018-05-04,37.03125
2018-05-07,37.685547
2018-05-08,38.535156
2018-05-09,41.035156
2018-05-10,38.496094
2018-05-11,37.83203
2018-05-14,40.546875
2018-05-15,43.26172
2018-05-16,35.29297
2018-05-17,34.140625
2018-05-18,32.109375
2018-05-21,32.695312
2018-05-22,30.419779
2018-05-23,31.328125
2018-05-24,33.320312
2018-05-25,28.164062
2018-05-28,36.328125
2018-05-29,35.703125
2018-05-30,44.6875
2018-05-31,36.25
2018-06-01,36.054688
2018-06-04,39.140625
2018-06-05,38.085938
2018-06-06,33.710938
2018-06-07,30.820312
2018-06-08,29.667969
2018-06-11,33.203125
2018-06-12,34.23828
2018-06-13,33.789062
2018-06-14,31.71875
2018-06-15,32.304688
2018-06-18,36.17883
2018-06-19,32.929688
2018-06-20,32.76747
2018-06-21,32.382812
2018-06-22,29.570312
2018-06-25,44.042606
2018-06-26,38.359375
2018-06-27,61.171875
2018-06-28,33.671875
2018-06-29,34.636818
2018-07-02,33.90625
2018-07-03,31.414795
2018-07-04,30.429688
2018-07-05,30.488281
2018-07-06,29.667969
2018-07-09,31.660156
2018-07-10,30.410156
2018-07-11,32.734375
2018-07-12,32.51953
2018-07-13,31.894531
2018-07-16,39.414062
2018-07-17,34.137794
2018-07-18,37.96642
2018-07-19,37.753906
2018-07-20,32.1875
2018-07-23,51.328125
2018-07-24,53.75
2018-07-25,52.578125
2018-07-26,40.3125
2018-07-27,39.86328
2018-07-30,43.085938
2018-07-31,45.3125
2018-08-01,46.132812
2018-08-02,46.240234
2018-08-03,45.546875
2018-08-06,46.289062
2018-08-07,39.160156
2018-08-08,36.11328
2018-08-09,35.078125
2018-08-10,35.859375
2018-08-13,36.45521
2018-08-14,35.76172
2018-08-16,36.09375
2018-08-17,35.546875
2018-08-20,41.328125
2018-08-21,40.95703
2018-08-23,40.625
2018-08-24,39.570312
2018-08-27,42.148438
2018-08-28,46.210938
2018-08-29,45.234375
2018-08-30,38.07617
2018-08-31,37.83203
2018-09-03,34.991596
2018-09-04,36.523624
2018-09-05,38.204197
2018-09-06,35.48828
2018-09-07,35.214844
2018-09-10,38.164062
2018-09-11,38.242188
2018-09-12,35.64453
2018-09-14,34.82422
2018-09-17,39.23828
2018-09-18,38.90625
2018-09-19,37.109375
2018-09-21,40.566406
2018-09-24,59.026108
2018-09-25,41.992188
2018-09-26,47.34375
2018-09-27,36.933594
2018-09-28,44.960938
2018-10-01,44.316406
2018-10-03,51.621094
2018-10-04,51.757812
2018-10-05,60.01953
2018-10-08,61.992188
2018-10-09,64.49219
2018-10-10,52.265625
2018-10-11,58.984375
2018-10-12,50.64453
2018-10-15,76.89453
2018-10-16,60.273438
2018-10-17,73.55469
2018-10-19,105.42969
2018-10-22,99.296875
2018-10-23,71.640625
2018-10-24,59.375
2018-10-25,42.304688
2018-10-26,38.339844
2018-10-29,34.573795
2018-10-30,35.76172
2018-10-31,36.09375
2018-11-01,34.785156
2018-11-02,33.10547
2018-11-05,35.48828
2018-11-06,32.36771
2018-11-09,32.58137
2018-11-12,33.964844
2018-11-13,32.01172
2018-11-14,34.316406
2018-11-15,39.257812
2018-11-16,33.242188
2018-11-19,33.28125
2018-11-20,31.132812
2018-11-21,30.195312
2018-11-22,26.210938
2018-11-26,32.265625
2018-11-27,31.09375
2018-11-28,40.859375
2018-11-29,32.245953
2018-11-30,37.226562
2018-12-03,37.079693
2018-12-04,34.375
2018-12-05,35.668858
2018-12-06,36.783676
2018-12-07,35.078125
2018-12-10,38.28125
2018-12-11,36.71875
2018-12-12,35.3125
2018-12-13,35.234375
2018-12-14,33.203125
2018-12-17,34.257812
2018-12-18,34.160156
