date,iv_atm
2017-07-04,33.38888
2017-07-05,32.148438
2017-07-06,31.757812
2017-07-07,29.765625
2017-07-10,31.25
2017-07-11,30.742188
2017-07-12,31.445312
2017-07-13,31.328125
2017-07-14,31.328125
2017-07-17,31.171875
2017-07-18,33.828125
2017-07-19,33.046875
2017-07-20,34.765625
2017-07-21,35.390625
2017-07-24,49.84375
2017-07-25,54.76137
2017-07-27,29.765625
2017-07-28,28.62216
2017-07-31,29.55932
2017-08-01,29.003906
2017-08-02,28.652344
2017-08-03,29.0625
2017-08-04,27.539062
2017-08-07,26.914062
2017-08-08,28.811476
2017-08-09,29.21875
2017-08-10,30.351562
2017-08-11,36.74239
2017-08-14,33.812073
2017-08-16,32.539062
2017-08-17,33.046875
2017-08-18,33.476562
2017-08-21,38.164062
2017-08-22,35.351562
2017-08-23,31.015625
2017-08-24,30.78125
2017-08-28,38.4375
2017-08-29,42.8125
2017-08-30,38.4375
2017-08-31,31.953125
2017-09-01,31.367188
2017-09-04,33.582127
2017-09-05,32.578125
2017-09-06,32.1875
2017-09-07,32.413147
2017-09-08,31.074219
2017-09-11,30.976562
2017-09-12,29.453125
2017-09-13,29.414062
2017-09-14,30.507812
2017-09-15,30.976562
2017-09-18,30.78125
2017-09-19,30.46875
2017-09-20,31.40625
2017-09-21,31.992188
2017-09-22,33.59375
2017-09-25,42.890625
2017-09-26,37.03125
2017-09-27,42.74381
2017-09-28,33.828125
2017-09-29,30.800781
2017-10-03,31.079609
2017-10-04,31.366222
2017-10-05,30.232609
2017-10-06,28.027344
2017-10-09,29.829435
2017-10-10,30.625
2017-10-11,32.617188
2017-10-12,30.039062
2017-10-13,30.351562
2017-10-16,29.140625
2017-10-17,27.773438
2017-10-18,26.384924
2017-10-23,29.453125
2017-10-24,31.40625
2017-10-25,38.75
2017-10-26,33.61328
2017-10-27,33.359375
2017-10-30,34.101562
2017-10-31,35.371094
2017-11-01,35.214844
2017-11-02,34.414062
2017-11-03,31.09375
2017-11-06,31.289062
2017-11-07,33.964844
2017-11-08,35.390625
2017-11-09,33.085938
2017-11-10,31.054688
2017-11-13,33.242188
2017-11-14,33.154404
2017-11-15,35.859375
2017-11-16,33.867188
2017-11-17,34.375
2017-11-20,36.210938
2017-11-21,35.117188
2017-11-22,36.445312
2017-11-23,33.320312
2017-11-24,35.859375
2017-11-27,40.9375
2017-11-28,41.09375
2017-11-29,37.65625
2017-11-30,36.015625
2017-12-01,36.054688
2017-12-04,36.268047
2017-12-05,35.703125
2017-12-06,37.1875
2017-12-07,34.921875
2017-12-08,32.851562
2017-12-11,35.46875
2017-12-12,36.484375
2017-12-13,42.734375
2017-12-14,43.4375
2017-12-15,39.648438
2017-12-18,35.820312
2017-12-19,33.320312
2017-12-20,32.226562
2017-12-21,31.40625
2017-12-22,27.734375
2017-12-26,36.09375
2017-12-27,39.0625
2017-12-28,34.570312
2017-12-29,35.664062
2018-01-01,35.507812
2018-01-02,36.289062
2018-01-03,36.25064
2018-01-04,36.171875
2018-01-05,36.40625
2018-01-08,38.554688
2018-01-09,38.359375
2018-01-10,37.421875
2018-01-11,37.1875
2018-01-12,34.960938
