tradingsymbol,noBlockDeals,bulkBlockDeals,marketDeptOrderBook.totalBuyQuantity,marketDeptOrderBook.totalSellQuantity,marketDeptOrderBook.bid,marketDeptOrderBook.ask,marketDeptOrderBook.tradeInfo.totalTradedVolume,marketDeptOrderBook.tradeInfo.totalTradedValue,marketDeptOrderBook.tradeInfo.totalMarketCap,marketDeptOrderBook.tradeInfo.ffmc,marketDeptOrderBook.tradeInfo.impactCost,marketDeptOrderBook.tradeInfo.cmDailyVolatility,marketDeptOrderBook.tradeInfo.cmAnnualVolatility,marketDeptOrderBook.valueAtRisk.securityVar,marketDeptOrderBook.valueAtRisk.indexVar,marketDeptOrderBook.valueAtRisk.varMargin,marketDeptOrderBook.valueAtRisk.extremeLossMargin,marketDeptOrderBook.valueAtRisk.adhocMargin,marketDeptOrderBook.valueAtRisk.applicableMargin,securityWiseDP.quantityTraded,securityWiseDP.deliveryQuantity,securityWiseDP.deliveryToTradedQuantity,securityWiseDP.seriesRemarks,securityWiseDP.secWiseDelPosDate,info.symbol,info.companyName,info.industry,info.activeSeries,info.debtSeries,info.tempSuspendedSeries,info.isFNOSec,info.isCASec,info.isSLBSec,info.isDebtSec,info.isSuspended,info.isETFSec,info.isDelisted,info.isin,info.isTop10,info.identifier,metadata.series,metadata.symbol,metadata.isin,metadata.status,metadata.listingDate,metadata.industry,metadata.lastUpdateTime,metadata.pdSectorPe,metadata.pdSymbolPe,metadata.pdSectorInd,securityInfo.boardStatus,securityInfo.tradingStatus,securityInfo.tradingSegment,securityInfo.sessionNo,securityInfo.slb,securityInfo.classOfShare,securityInfo.derivatives,securityInfo.surveillance.surv,securityInfo.surveillance.desc,securityInfo.faceValue,securityInfo.issuedSize,sddDetails.SDDAuditor,sddDetails.SDDStatus,priceInfo.lastPrice,priceInfo.change,priceInfo.pChange,priceInfo.previousClose,priceInfo.open,priceInfo.close,priceInfo.vwap,priceInfo.lowerCP,priceInfo.upperCP,priceInfo.pPriceBand,priceInfo.basePrice,priceInfo.intraDayHighLow.min,priceInfo.intraDayHighLow.max,priceInfo.intraDayHighLow.value,priceInfo.weekHighLow.min,priceInfo.weekHighLow.minDate,priceInfo.weekHighLow.max,priceInfo.weekHighLow.maxDate,priceInfo.weekHighLow.value,priceInfo.iNavValue,priceInfo.checkINAV,industryInfo.macro,industryInfo.sector,industryInfo.industry,industryInfo.basicIndustry,preOpenMarket.preopen,preOpenMarket.ato.buy,preOpenMarket.ato.sell,preOpenMarket.IEP,preOpenMarket.totalTradedVolume,preOpenMarket.finalPrice,preOpenMarket.finalQuantity,preOpenMarket.lastUpdateTime,preOpenMarket.totalBuyQuantity,preOpenMarket.totalSellQuantity,preOpenMarket.atoBuyQty,preOpenMarket.atoSellQty
21STCENMGM,True,"[{'name': 'Session I'}, {'name': 'Session II'}]",0.0,0.0,"[{'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}]","[{'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}]",6299.0,1.21,2016.0,604.8,4.31,1.65,31.52,10.42,0.0,21.5,3.5,0.0,25.0,6299.0,5166.0,82.01,,06-OCT-2023 EOD,21STCENMGM,21st Century Management Services Limited,FINANCE,['EQ'],[],['BE'],False,False,False,False,False,False,False,INE253B01015,False,21STCENMGMEQN,EQ,21STCENMGM,INE253B01015,Listed,03-May-1995,Other Capital Market related Services,06-Oct-2023 16:00:00,18.46,0.0,NIFTY FINANCIAL SERVICES                          ,Main,Active,Normal Market,-,No,Equity,No,,,10,10500000,-,-,19.2,-0.3000000000000007,-1.538461538461542,19.5,19.5,19.2,19.25,19.15,19.85,2,19.5,19.15,19.75,19.2,16.5,10-Mar-2023,24.2,21-Dec-2022,19.2,,False,Financial Services,Financial Services,Capital Markets,Other Capital Market related Services,"[{'price': 19.5, 'buyQty': 1, 'sellQty': 1, 'iep': True}, {'price': 19.8, 'buyQty': 0, 'sellQty': 330}, {'price': 19.85, 'buyQty': 0, 'sellQty': 100}]",0,0,19.5,0.0,19.5,1.0,06-Oct-2023 09:07:04,0.0,430.0,0.0,330.0
360ONE,True,"[{'name': 'Session I'}, {'name': 'Session II'}]",0.0,2989.0,"[{'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}]","[{'price': 507.7, 'quantity': 2989}, {'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}]",471369.0,2383.67,1817599.74,527103.9233846,0.06,1.95,37.25,12.43,0.0,12.43,3.5,0.0,15.93,471369.0,343094.0,72.79,,06-OCT-2023 EOD,360ONE,360 ONE WAM LIMITED,,['EQ'],[],[],False,False,True,False,False,False,False,INE466L01038,False,360ONEEQN,EQ,360ONE,INE466L01038,Listed,19-Sep-2019,Other Financial Services,06-Oct-2023 16:00:00,,,,Main,Active,Normal Market,-,Yes,Equity,No,,,1,358041906,-,-,507.65,13.699999999999989,2.773560076930861,493.95,496.65,507.7,505.69,395.2,592.7,20,493.95,496.4,509.8,507.65,395.1,21-Mar-2023,570.0,12-Sep-2023,507.65,,False,Financial Services,Financial Services,Finance,Other Financial Services,"[{'price': 496.6, 'buyQty': 0, 'sellQty': 25}, {'price': 496.65, 'buyQty': 0, 'sellQty': 50, 'iep': True}, {'price': 496.7, 'buyQty': 0, 'sellQty': 600}, {'price': 496.8, 'buyQty': 0, 'sellQty': 250}, {'price': 503.8, 'buyQty': 8, 'sellQty': 0}, {'price': 503.85, 'buyQty': 5, 'sellQty': 0}, {'price': 518.6, 'buyQty': 6, 'sellQty': 0}, {'price': 592.7, 'buyQty': 9, 'sellQty': 0}]",11,3,496.65,64.0,496.65,64.0,06-Oct-2023 09:07:07,2827.0,31653.0,11.0,3.0
3IINFOLTD,True,"[{'name': 'Session I'}, {'name': 'Session II'}]",0.0,0.0,"[{'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}]","[{'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}]",672416.0,276.97,69478.05,62530.2443736,0.21,2.83,54.07,18.54,0.0,18.54,3.5,0.0,22.04,672416.0,285385.0,42.44,,06-OCT-2023 EOD,3IINFOLTD,3i Infotech Limited,,['EQ'],[],[],False,False,False,False,False,False,False,INE748C01038,False,3IINFOLTDEQN,EQ,3IINFOLTD,INE748C01038,Listed,22-Oct-2021,Computers - Software & Consulting,06-Oct-2023 16:00:00,,,,Main,Active,Normal Market,-,No,Equity,No,,,10,168636042,-,-,41.2,0.2000000000000028,0.4878048780487874,41.0,41.45,41.25,41.19,32.8,49.2,20,41.0,40.8,41.8,41.2,26.25,28-Mar-2023,46.4,01-Nov-2022,41.2,,False,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting,"[{'price': 38.15, 'buyQty': 0, 'sellQty': 401}, {'price': 41, 'buyQty': 0, 'sellQty': 250}, {'price': 41.25, 'buyQty': 101, 'sellQty': 0}, {'price': 41.3, 'buyQty': 500, 'sellQty': 1592}, {'price': 41.4, 'buyQty': 100, 'sellQty': 2108}, {'price': 41.45, 'buyQty': 0, 'sellQty': 0, 'iep': True}, {'price': 41.6, 'buyQty': 500, 'sellQty': 0}]",5861,11,41.45,6361.0,41.45,6361.0,06-Oct-2023 09:07:04,37719.0,331091.0,5861.0,11.0
3MINDIA,True,"[{'name': 'Session I'}, {'name': 'Session II'}]",0.0,3.0,"[{'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}]","[{'price': 31150.1, 'quantity': 3}, {'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}]",1739.0,542.9,3509069.31,877267.32625,0.07,1.74,33.24,10.98,0.0,10.98,3.5,0.0,14.48,1739.0,379.0,21.79,,06-OCT-2023 EOD,3MINDIA,3M India Limited,TRADING,['EQ'],[],[],False,False,True,False,False,False,False,INE470A01017,False,3MINDIAEQN,EQ,3MINDIA,INE470A01017,Listed,13-Aug-2004,Diversified,06-Oct-2023 16:00:00,23.45,76.93,NIFTY 500                                         ,Main,Active,Normal Market,-,Yes,Equity,No,,,10,11265070,-,-,31150.0,245.65000000000143,0.7948719193252777,30904.35,30950.0,31150.1,31218.96,24723.5,37085.2,20,30904.35,30850.0,31399.75,31150.0,21300.45,03-Jan-2023,33250.0,04-Sep-2023,31150.0,,False,Diversified,Diversified,Diversified,Diversified,"[{'price': 30904.75, 'buyQty': 0, 'sellQty': 1}, {'price': 30911, 'buyQty': 1, 'sellQty': 0}, {'price': 30925, 'buyQty': 0, 'sellQty': 1}, {'price': 30940.1, 'buyQty': 5, 'sellQty': 0}, {'price': 30950, 'buyQty': 0, 'sellQty': 5, 'iep': True}, {'price': 30950.1, 'buyQty': 2, 'sellQty': 0}, {'price': 31100, 'buyQty': 0, 'sellQty': 2}, {'price': 31522.5, 'buyQty': 1, 'sellQty': 0}]",3,0,30950.0,6.0,30950.0,6.0,06-Oct-2023 09:07:07,131.0,222.0,3.0,0.0
3PLAND,True,"[{'name': 'Session I'}, {'name': 'Session II'}]",0.0,2720.0,"[{'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}]","[{'price': 28.95, 'quantity': 2720}, {'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}]",34532.0,10.0,5211.0,1302.75,3.46,3.64,69.54,24.43,0.0,24.43,3.5,0.0,27.93,34532.0,31531.0,91.31,,06-OCT-2023 EOD,3PLAND,3P Land Holdings Limited,,['EQ'],[],[],False,False,False,False,False,False,False,INE105C01023,False,3PLANDEQN,EQ,3PLAND,INE105C01023,Listed,19-Jul-1995,Investment Company,06-Oct-2023 16:00:00,23.45,35.24,NIFTY 500                                         ,Main,Active,Normal Market,-,No,Equity,No,,,2,18000000,-,-,28.95,-1.5,-4.926108374384237,30.45,29.0,28.95,28.97,28.95,31.95,5,30.45,28.95,29.0,28.95,14.5,26-Dec-2022,36.65,13-Jan-2023,28.95,,False,Financial Services,Financial Services,Finance,Investment Company,"[{'price': 29, 'buyQty': 0, 'sellQty': 0, 'iep': True}, {'price': 29.85, 'buyQty': 0, 'sellQty': 937}, {'price': 29.9, 'buyQty': 0, 'sellQty': 1000}, {'price': 30, 'buyQty': 0, 'sellQty': 1}, {'price': 30.1, 'buyQty': 0, 'sellQty': 1}, {'price': 30.7, 'buyQty': 500, 'sellQty': 0}, {'price': 31.1, 'buyQty': 5, 'sellQty': 0}, {'price': 31.85, 'buyQty': 215, 'sellQty': 0}, {'price': 31.95, 'buyQty': 23, 'sellQty': 0}]",4178,16491,29.0,14711.0,29.0,14711.0,06-Oct-2023 09:07:08,0.0,27623.0,4178.0,16491.0
5PAISA,True,"[{'name': 'Session I'}, {'name': 'Session II'}]",1.0,0.0,"[{'price': 429.1, 'quantity': 1}, {'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}]","[{'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}]",45726.0,196.86,132228.73,39668.61972,0.15,2.62,50.06,16.99,0.0,16.99,3.5,0.0,20.49,45726.0,17788.0,38.9,,06-OCT-2023 EOD,5PAISA,5Paisa Capital Limited,,['EQ'],[],[],False,False,False,False,False,False,False,INE618L01018,False,5PAISAEQN,EQ,5PAISA,INE618L01018,Listed,16-Nov-2017,Stockbroking & Allied,06-Oct-2023 16:00:00,18.46,32.66,NIFTY FINANCIAL SERVICES                          ,Main,Active,Normal Market,-,No,Equity,No,,,10,30750868,-,-,430.0,0.4499999999999886,0.1047607961820483,429.55,433.2,429.1,430.51,343.65,515.45,20,429.55,425.15,436.75,430.0,270.1,02-Mar-2023,485.0,28-Jul-2023,430.0,,False,Financial Services,Financial Services,Capital Markets,Stockbroking & Allied,"[{'price': 429.55, 'buyQty': 64, 'sellQty': 0}, {'price': 430, 'buyQty': 35, 'sellQty': 0}, {'price': 432.95, 'buyQty': 0, 'sellQty': 30}, {'price': 433, 'buyQty': 0, 'sellQty': 32}, {'price': 433.2, 'buyQty': 0, 'sellQty': 32, 'iep': True}, {'price': 433.25, 'buyQty': 4, 'sellQty': 0}, {'price': 433.45, 'buyQty': 0, 'sellQty': 32}, {'price': 448.9, 'buyQty': 12, 'sellQty': 0}]",56,4,433.2,72.0,433.2,72.0,06-Oct-2023 09:07:07,2300.0,9084.0,56.0,4.0
63MOONS,True,"[{'name': 'Session I'}, {'name': 'Session II'}]",55.0,0.0,"[{'price': 264.25, 'quantity': 55}, {'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}]","[{'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}]",116442.0,310.36,121992.93,65876.1804221,0.47,3.46,66.1,23.05,0.0,23.05,3.5,73.45,100.0,116442.0,62756.0,53.89,,06-OCT-2023 EOD,63MOONS,63 moons technologies limited,,['EQ'],[],[],False,False,False,False,False,False,False,INE111B01023,False,63MOONSEQN,EQ,63MOONS,INE111B01023,Listed,20-Jun-2005,Computers - Software & Consulting,06-Oct-2023 16:00:00,27.21,14.21,NIFTY IT                                          ,Main,Active,Normal Market,-,No,Equity,No,LTASM - I (13),Long Term Additional Surveillance Measure (LTASM) - Stage I,2,46078537,-,-,264.75,-6.25,-2.306273062730628,271.0,272.0,264.25,266.54,257.45,284.55,5,271.0,261.75,275.25,264.75,140.55,21-Nov-2022,360.7,28-Aug-2023,264.75,,False,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting,"[{'price': 271, 'buyQty': 0, 'sellQty': 20}, {'price': 271.5, 'buyQty': 15, 'sellQty': 0}, {'price': 271.8, 'buyQty': 10, 'sellQty': 0}, {'price': 272, 'buyQty': 55, 'sellQty': 0, 'iep': True}, {'price': 272.05, 'buyQty': 17, 'sellQty': 0}, {'price': 273.3, 'buyQty': 0, 'sellQty': 4}, {'price': 273.4, 'buyQty': 0, 'sellQty': 50}, {'price': 274, 'buyQty': 0, 'sellQty': 3}]",0,32,272.0,52.0,272.0,52.0,06-Oct-2023 09:07:05,8179.0,8544.0,0.0,32.0
AAATECH,True,"[{'name': 'Session I'}, {'name': 'Session II'}]",0.0,769.0,"[{'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}]","[{'price': 57.9, 'quantity': 769}, {'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}]",27789.0,16.1,7388.24,2068.7063040000003,1.2,2.61,49.86,16.92,0.0,21.5,3.5,0.0,25.0,27789.0,15791.0,56.82,,06-OCT-2023 EOD,AAATECH,AAA Technologies Limited,,['EQ'],[],"['SM', 'ST']",False,False,False,False,False,False,False,INE0D0U01013,False,AAATECHEQN,EQ,AAATECH,INE0D0U01013,Listed,28-Nov-2022,IT Enabled Services,06-Oct-2023 16:00:00,,,,Main,Active,Normal Market,-,No,Equity,No,,,10,12826800,-,-,57.6,-0.3500000000000014,-0.6039689387402958,57.95,58.9,57.9,57.95,46.4,69.5,20,57.95,57.3,58.9,57.6,41.85,29-Mar-2023,82.65,29-Nov-2022,57.6,,False,Information Technology,Information Technology,IT - Services,IT Enabled Services,"[{'price': 56.4, 'buyQty': 2, 'sellQty': 0}, {'price': 56.45, 'buyQty': 2, 'sellQty': 0}, {'price': 57.25, 'buyQty': 78, 'sellQty': 0}, {'price': 57.55, 'buyQty': 580, 'sellQty': 0}, {'price': 58.9, 'buyQty': 0, 'sellQty': 100, 'iep': True}, {'price': 59, 'buyQty': 0, 'sellQty': 100}, {'price': 59.45, 'buyQty': 0, 'sellQty': 100}, {'price': 59.8, 'buyQty': 0, 'sellQty': 500}]",37,0,58.9,37.0,58.9,37.0,06-Oct-2023 09:07:05,5190.0,9044.0,37.0,0.0
AARTIDRUGS,True,"[{'name': 'Session I'}, {'name': 'Session II'}]",0.0,0.0,"[{'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}]","[{'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}]",138393.0,727.48,481601.5,168560.524125,0.06,2.51,47.95,16.25,0.0,16.25,3.5,0.0,19.75,138393.0,43958.0,31.76,,06-OCT-2023 EOD,AARTIDRUGS,Aarti Drugs Limited,PHARMACEUTICALS,['EQ'],[],['BE'],False,False,True,False,False,False,False,INE767A01016,False,AARTIDRUGSEQN,EQ,AARTIDRUGS,INE767A01016,Listed,19-Sep-2003,Pharmaceuticals,06-Oct-2023 16:00:00,31.93,28.8,NIFTY PHARMA                                      ,Main,Active,Normal Market,-,Yes,Equity,No,,,10,91935000,-,-,523.85,3.800000000000068,0.7306989712527774,520.05,525.25,523.4,525.66,416.05,624.05,20,520.05,521.0,531.6,523.85,313.9,20-Mar-2023,645.75,25-Jul-2023,523.85,,False,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,"[{'price': 416.1, 'buyQty': 0, 'sellQty': 193}, {'price': 484.45, 'buyQty': 0, 'sellQty': 38}, {'price': 500.65, 'buyQty': 0, 'sellQty': 228}, {'price': 518.15, 'buyQty': 0, 'sellQty': 76}, {'price': 525, 'buyQty': 50, 'sellQty': 0}, {'price': 525.25, 'buyQty': 0, 'sellQty': 0, 'iep': True}, {'price': 527, 'buyQty': 7, 'sellQty': 0}, {'price': 530, 'buyQty': 500, 'sellQty': 0}, {'price': 543.5, 'buyQty': 2, 'sellQty': 0}]",737,1,525.25,1246.0,525.25,1246.0,06-Oct-2023 09:07:08,7395.0,16074.0,737.0,1.0
AARTIIND,True,"[{'name': 'Session I'}, {'name': 'Session II'}]",0.0,2078.0,"[{'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}]","[{'price': 488.6, 'quantity': 2078}, {'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}, {'price': 0, 'quantity': 0}]",717026.0,3493.57,1765394.65,970967.0577475,0.03,1.84,35.15,11.69,0.0,11.69,3.5,0.0,15.19,717026.0,375429.0,52.36,,06-OCT-2023 EOD,AARTIIND,Aarti Industries Limited,CHEMICALS - SPECIALITY,['EQ'],[],[],True,False,True,False,False,False,False,INE769A01020,False,AARTIINDEQN,EQ,AARTIIND,INE769A01020,Listed,08-Feb-1995,Specialty Chemicals,06-Oct-2023 16:00:00,23.45,36.8,NIFTY 500                                         ,Main,Active,Normal Market,-,Yes,Equity,Yes,,,5,362504035,-,-,487.0,-0.25,-0.0513083632632119,487.25,489.0,488.6,487.23,438.55,535.95,No Band,487.25,484.05,490.9,487.0,445.0,13-Jul-2023,807.9,17-Oct-2022,487.0,,False,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,"[{'price': 462, 'buyQty': 0, 'sellQty': 18}, {'price': 483.75, 'buyQty': 0, 'sellQty': 16}, {'price': 484, 'buyQty': 0, 'sellQty': 140}, {'price': 485.85, 'buyQty': 0, 'sellQty': 16}, {'price': 489, 'buyQty': 0, 'sellQty': 0, 'iep': True}, {'price': 495, 'buyQty': 100, 'sellQty': 0}, {'price': 497, 'buyQty': 2, 'sellQty': 0}, {'price': 498, 'buyQty': 20, 'sellQty': 0}, {'price': 509.2, 'buyQty': 194, 'sellQty': 0}]",166,71,489.0,792.0,489.0,792.0,06-Oct-2023 09:07:04,37373.0,59000.0,166.0,71.0
