code,name,symbol,lot_size,underlying_type
541153,Bandhan Bank Limited,BDBK,2500,EQ
540777,HDFC LIFE INSURANCE COMPANY LIMITED,HDLF,1100,EQ
540133,ICICI Prudential Life Insurance Company Limited,ICLF,1500,EQ
540065,RBL Bank Limited,RBLB,2500,EQ
539957,Mahanagar Gas Limited,MNGL,800,EQ
539448,InterGlobe Aviation Limited,INAL,300,EQ
539437,IDFC FIRST BANK LIMITED,IDBL,7500,EQ
505537,ZEE ENTER,ZEEL,3000,EQ
531642,Marico Limited,MARI,1200,EQ
507685,WIPRO LTD.,WIPR,1500,EQ
534816,Bharti Infratel Limited,INFR,3400,EQ
533519,L&T FINANCE HOLDINGS LIMITED,LNTF,4462,EQ
533398,MUTHOOT FINANCE LIMITED,MTFL,550,EQ
533278,Coal India Limited,COAL,2100,EQ
500300,GRASIM INDUS,GRSM,475,EQ
533155,Jubilant Foodworks Limited,JBFW,1250,EQ
533150,Godrej Properties Limited,GPRL,475,EQ
532321,Cadila Healthcare Ltd.,CADL,900,EQ
532978,Bajaj Finserv Limited,BAJF,500,EQ
532977,Bajaj Auto Limited,BAJT,125,EQ
532955,REC LIMITED,RECL,2000,EQ
500302,Piramal Enterprises Limited,PREL,750,EQ
500830,"Colgate-Palmolive (India) Ltd.,",COLG,350,EQ
532921,Adani Ports and Special Economic Zone Lt,MPSL,800,EQ
532898,POWER GRID CORPORATION OF INDIA LIMITED,PGCL,3600,EQ
532868,DLF LIMITED,DLFL,1650,EQ
524715,Sun Pharmaceutical Industries Ltd.,SUNP,700,EQ
532827,Page Industries Ltd.,PAGE,15,EQ
532822,VODAFONE IDEA  LIMITED,IDEA,80000,EQ
532810,Power Finance Corporation Ltd,PFCL,3875,EQ
532777,Info Edge (India) Ltd.,NAUK,150,EQ
532432,UNITD SPR,UNSL,700,EQ
532755,Tech Mahindra Limited,TECM,600,EQ
532754,GMR Infrastructure Limited,GMRI,11250,EQ
532733,SUN TV NETWORK LIMITED,SUNT,1500,EQ
532720,Mahindra & Mahindra Financial Services L,MFSL,2000,EQ
500325,Reliance Industries Ltd,RELI,250,EQ
532689,PVR Ltd.,PVRL,407,EQ
532555,NTPC LTD,NTPC,3000,EQ
532541,NIIT TECHNO,NIIT,150,EQ
532540,TCS LTD.,TCSL,175,EQ
532538,ULTRATECH CM,ULCL,100,EQ
532523,BIOCON LTD.,BIOC,2500,EQ
532522,PETRONET LNG,PLNG,3000,EQ
532514,Indraprashta  Gas Ltd.,INGL,1375,EQ
532500,MARUTISUZUKI,MARU,50,EQ
532488,Divi's Laboratories Ltd.,DIVI,200,EQ
532483,CANARA BANK,CANB,2700,EQ
532478,United Breweries Ltd.,UBRL,400,EQ
532461,Punjab National Bank,PNBK,8000,EQ
532454,Bharti Airtel  Ltd.,BHRT,950,EQ
532424,Godrej Consumer Products Ltd.,GCPL,500,EQ
532343,TVS MOTOR L,TMCL,350,EQ
532296,Glenmark Pharmaceuticals ltd,GLPL,725,EQ
532286,Jindal Steel & Power Ltd,JSPL,1250,EQ
532281,HCL TECHNO,HCLT,700,EQ
532215,AXIS Bank Ltd.,AXIS,625,EQ
532187,IndusInd Bank Ltd.,IIBK,500,EQ
532174,ICICI Bank Ltd.,ICIC,700,EQ
532155,GAIL INDIA,GAIL,4575,EQ
532134,Bank Of Baroda,BOBL,2925,EQ
531344,CONTAIN CORP,CCOI,1000,EQ
531213,Manappuram Finance Ltd,MANF,6000,EQ
530965,INDIAN OIL C,IOCL,9750,EQ
500180,HDFC Bank Ltd.,HDBK,550,EQ
500228,JSW SL,JSWL,675,EQ
524804,Aurobindo Pharma Ltd.,AUPL,1100,EQ
500253,Lic Housing Finance Ltd.,LICH,2000,EQ
512599,ADANI ENTER,ADEL,300,EQ
500034,BAJAJ AUTO F,BAFL,125,EQ
500469,Federal Bank Ltd.,FEDB,5000,EQ
500420,Torrent Pharmaceuticals Ltd.,TRPL,500,EQ
500096,DABUR INDIA,DABU,1250,EQ
517354,Havells India Limited,HAIL,500,EQ
500331,Pidilite Industries Ltd.,PIDI,250,EQ
500257,Lupin Ltd,LUPL,850,EQ
517334,"Motherson Sumi Systems Ltd.,",MSSL,7100,EQ
500209,Infosys Ltd,INFY,400,EQ
500049,BHARAT ELECT,BELL,5700,EQ
532234,"National Aluminium Co. Ltd.,",NALC,7500,EQ
500103,"Bharat Heavy Electricals Ltd.,",BHEL,5250,EQ
500113,STEEL AUTHOR,SAIL,8000,EQ
500547,BHARAT PETRO,BPCL,1800,EQ
500247,Kotak Mahindra Bank Ltd.,KOTB,400,EQ
511243,CHOL INV FN,CIFL,625,EQ
511218,SHRIRAM TRAN,SHTF,300,EQ
500271,Max Financial Services Limited,MXFS,800,EQ
509480,Berger Paints India Ltd,BRGP,1320,EQ
503806,"SRF Ltd.,",SRFL,375,EQ
500124,DR.REDDY'S L,DRRL,125,EQ
